           Open      Close       High        Low      Volume         VWAP           Timestamp  Transactions  OTC  hour  minute  dayofweek  Close_lag_1  Volume_lag_1   VWAP_lag_1  Close_lag_2  Volume_lag_2   VWAP_lag_2  Close_lag_3  Volume_lag_3   VWAP_lag_3  Close_lag_4  Volume_lag_4   VWAP_lag_4  Close_lag_5  Volume_lag_5   VWAP_lag_5
639   110831.76  110870.06  110905.27  110750.00    6.418285  110844.4128 2025-05-22 10:39:00           510  NaN    10      39          3    110831.76     14.490597  110796.9656    110779.50      6.578996  110806.2631    110916.44     14.696862  111053.6191    111179.83     16.193178  111231.4699    111189.36     15.841660  111233.6352
640   110870.06  110935.61  110973.27  110760.00   23.565718  110874.3081 2025-05-22 10:40:00           686  NaN    10      40          3    110870.06      6.418285  110844.4128    110831.76     14.490597  110796.9656    110779.50      6.578996  110806.2631    110916.44     14.696862  111053.6191    111179.83     16.193178  111231.4699
641   110935.61  110991.18  111033.11  110866.00    7.538361  110989.1000 2025-05-22 10:41:00           560  NaN    10      41          3    110935.61     23.565718  110874.3081    110870.06      6.418285  110844.4128    110831.76     14.490597  110796.9656    110779.50      6.578996  110806.2631    110916.44     14.696862  111053.6191
642   110991.16  111059.64  111088.99  110890.00   19.227856  110989.8770 2025-05-22 10:42:00           623  NaN    10      42          3    110991.18      7.538361  110989.1000    110935.61     23.565718  110874.3081    110870.06      6.418285  110844.4128    110831.76     14.490597  110796.9656    110779.50      6.578996  110806.2631
643   111059.65  110976.20  111128.85  110850.00    9.519157  111027.1407 2025-05-22 10:43:00           674  NaN    10      43          3    111059.64     19.227856  110989.8770    110991.18      7.538361  110989.1000    110935.61     23.565718  110874.3081    110870.06      6.418285  110844.4128    110831.76     14.490597  110796.9656
644   110977.17  110941.19  110988.40  110810.00   11.514823  110940.9426 2025-05-22 10:44:00           701  NaN    10      44          3    110976.20      9.519157  111027.1407    111059.64     19.227856  110989.8770    110991.18      7.538361  110989.1000    110935.61     23.565718  110874.3081    110870.06      6.418285  110844.4128
645   110920.70  110878.68  110999.98  110820.00    8.432701  110901.3721 2025-05-22 10:45:00           547  NaN    10      45          3    110941.19     11.514823  110940.9426    110976.20      9.519157  111027.1407    111059.64     19.227856  110989.8770    110991.18      7.538361  110989.1000    110935.61     23.565718  110874.3081
646   110869.35  110991.05  111018.15  110810.00    6.172504  110954.4089 2025-05-22 10:46:00           554  NaN    10      46          3    110878.68      8.432701  110901.3721    110941.19     11.514823  110940.9426    110976.20      9.519157  111027.1407    111059.64     19.227856  110989.8770    110991.18      7.538361  110989.1000
647   110929.10  110917.18  111058.58  110840.00    9.986018  110983.8740 2025-05-22 10:47:00           650  NaN    10      47          3    110991.05      6.172504  110954.4089    110878.68      8.432701  110901.3721    110941.19     11.514823  110940.9426    110976.20      9.519157  111027.1407    111059.64     19.227856  110989.8770
648   110928.39  110965.43  110988.23  110820.00    6.359492  110906.7469 2025-05-22 10:48:00           514  NaN    10      48          3    110917.18      9.986018  110983.8740    110991.05      6.172504  110954.4089    110878.68      8.432701  110901.3721    110941.19     11.514823  110940.9426    110976.20      9.519157  111027.1407
649   110968.44  110838.65  110982.87  110800.00    8.518253  110890.3053 2025-05-22 10:49:00           505  NaN    10      49          3    110965.43      6.359492  110906.7469    110917.18      9.986018  110983.8740    110991.05      6.172504  110954.4089    110878.68      8.432701  110901.3721    110941.19     11.514823  110940.9426
650   110838.66  110830.70  110968.09  110720.00   12.487202  110888.0047 2025-05-22 10:50:00           620  NaN    10      50          3    110838.65      8.518253  110890.3053    110965.43      6.359492  110906.7469    110917.18      9.986018  110983.8740    110991.05      6.172504  110954.4089    110878.68      8.432701  110901.3721
651   110830.69  110855.79  110906.10  110750.00   24.217073  110815.4406 2025-05-22 10:51:00           612  NaN    10      51          3    110830.70     12.487202  110888.0047    110838.65      8.518253  110890.3053    110965.43      6.359492  110906.7469    110917.18      9.986018  110983.8740    110991.05      6.172504  110954.4089
652   110855.79  110794.44  110898.48  110720.00   23.355162  110823.2540 2025-05-22 10:52:00           588  NaN    10      52          3    110855.79     24.217073  110815.4406    110830.70     12.487202  110888.0047    110838.65      8.518253  110890.3053    110965.43      6.359492  110906.7469    110917.18      9.986018  110983.8740
653   110814.00  110774.43  110814.00  110660.00   29.358580  110761.3903 2025-05-22 10:53:00           647  NaN    10      53          3    110794.44     23.355162  110823.2540    110855.79     24.217073  110815.4406    110830.70     12.487202  110888.0047    110838.65      8.518253  110890.3053    110965.43      6.359492  110906.7469
654   110774.44  110776.75  110808.71  110650.00   17.973772  110743.4539 2025-05-22 10:54:00           442  NaN    10      54          3    110774.43     29.358580  110761.3903    110794.44     23.355162  110823.2540    110855.79     24.217073  110815.4406    110830.70     12.487202  110888.0047    110838.65      8.518253  110890.3053
655   110776.75  110686.92  110776.75  110580.00   24.512377  110702.2674 2025-05-22 10:55:00           798  NaN    10      55          3    110776.75     17.973772  110743.4539    110774.43     29.358580  110761.3903    110794.44     23.355162  110823.2540    110855.79     24.217073  110815.4406    110830.70     12.487202  110888.0047
656   110701.20  110589.42  110701.20  110500.00   24.706799  110619.0411 2025-05-22 10:56:00           721  NaN    10      56          3    110686.92     24.512377  110702.2674    110776.75     17.973772  110743.4539    110774.43     29.358580  110761.3903    110794.44     23.355162  110823.2540    110855.79     24.217073  110815.4406
657   110520.00  110642.09  110642.09  110500.00   15.133350  110584.8017 2025-05-22 10:57:00           537  NaN    10      57          3    110589.42     24.706799  110619.0411    110686.92     24.512377  110702.2674    110776.75     17.973772  110743.4539    110774.43     29.358580  110761.3903    110794.44     23.355162  110823.2540
658   110642.09  110710.60  110799.28  110550.00    7.760906  110688.9122 2025-05-22 10:58:00           517  NaN    10      58          3    110642.09     15.133350  110584.8017    110589.42     24.706799  110619.0411    110686.92     24.512377  110702.2674    110776.75     17.973772  110743.4539    110774.43     29.358580  110761.3903
659   110800.50  110921.72  110928.36  110710.00   17.528925  110886.2647 2025-05-22 10:59:00           760  NaN    10      59          3    110710.60      7.760906  110688.9122    110642.09     15.133350  110584.8017    110589.42     24.706799  110619.0411    110686.92     24.512377  110702.2674    110776.75     17.973772  110743.4539
660   110894.50  110928.39  110958.13  110810.00   26.156257  110910.1727 2025-05-22 11:00:00           940  NaN    11       0          3    110921.72     17.528925  110886.2647    110710.60      7.760906  110688.9122    110642.09     15.133350  110584.8017    110589.42     24.706799  110619.0411    110686.92     24.512377  110702.2674
661   110928.40  110875.24  110958.06  110800.00   10.377882  110906.9214 2025-05-22 11:01:00           517  NaN    11       1          3    110928.39     26.156257  110910.1727    110921.72     17.528925  110886.2647    110710.60      7.760906  110688.9122    110642.09     15.133350  110584.8017    110589.42     24.706799  110619.0411
662   110875.25  110883.34  110902.70  110770.00   15.540017  110859.0924 2025-05-22 11:02:00           605  NaN    11       2          3    110875.24     10.377882  110906.9214    110928.39     26.156257  110910.1727    110921.72     17.528925  110886.2647    110710.60      7.760906  110688.9122    110642.09     15.133350  110584.8017
663   110883.35  110933.40  111010.00  110790.00   19.380887  110945.7047 2025-05-22 11:03:00           967  NaN    11       3          3    110883.34     15.540017  110859.0924    110875.24     10.377882  110906.9214    110928.39     26.156257  110910.1727    110921.72     17.528925  110886.2647    110710.60      7.760906  110688.9122
664   110933.39  110961.22  111003.19  110870.00   11.654216  110966.6337 2025-05-22 11:04:00           720  NaN    11       4          3    110933.40     19.380887  110945.7047    110883.34     15.540017  110859.0924    110875.24     10.377882  110906.9214    110928.39     26.156257  110910.1727    110921.72     17.528925  110886.2647
665   110948.25  111055.74  111121.82  110900.00   24.383957  111043.6411 2025-05-22 11:05:00           823  NaN    11       5          3    110961.22     11.654216  110966.6337    110933.40     19.380887  110945.7047    110883.34     15.540017  110859.0924    110875.24     10.377882  110906.9214    110928.39     26.156257  110910.1727
666   111055.74  110951.60  111061.63  110850.00   25.536346  110960.6648 2025-05-22 11:06:00           788  NaN    11       6          3    111055.74     24.383957  111043.6411    110961.22     11.654216  110966.6337    110933.40     19.380887  110945.7047    110883.34     15.540017  110859.0924    110875.24     10.377882  110906.9214
667   110951.60  111098.02  111098.37  110770.00   17.353936  110994.5183 2025-05-22 11:07:00           919  NaN    11       7          3    110951.60     25.536346  110960.6648    111055.74     24.383957  111043.6411    110961.22     11.654216  110966.6337    110933.40     19.380887  110945.7047    110883.34     15.540017  110859.0924
668   111098.02  111113.00  111203.05  110970.00   16.282357  111133.5696 2025-05-22 11:08:00           686  NaN    11       8          3    111098.02     17.353936  110994.5183    110951.60     25.536346  110960.6648    111055.74     24.383957  111043.6411    110961.22     11.654216  110966.6337    110933.40     19.380887  110945.7047
669   111048.09  110976.09  111101.60  110830.00   10.955720  110980.9899 2025-05-22 11:09:00           527  NaN    11       9          3    111113.00     16.282357  111133.5696    111098.02     17.353936  110994.5183    110951.60     25.536346  110960.6648    111055.74     24.383957  111043.6411    110961.22     11.654216  110966.6337
670   110976.09  110957.82  111014.87  110840.00   11.250533  110969.3474 2025-05-22 11:10:00           650  NaN    11      10          3    110976.09     10.955720  110980.9899    111113.00     16.282357  111133.5696    111098.02     17.353936  110994.5183    110951.60     25.536346  110960.6648    111055.74     24.383957  111043.6411
671   110963.55  110905.49  111000.10  110800.00    9.210169  110944.4181 2025-05-22 11:11:00           402  NaN    11      11          3    110957.82     11.250533  110969.3474    110976.09     10.955720  110980.9899    111113.00     16.282357  111133.5696    111098.02     17.353936  110994.5183    110951.60     25.536346  110960.6648
672   110905.49  110968.03  110986.41  110800.00   13.867926  110950.3150 2025-05-22 11:12:00           596  NaN    11      12          3    110905.49      9.210169  110944.4181    110957.82     11.250533  110969.3474    110976.09     10.955720  110980.9899    111113.00     16.282357  111133.5696    111098.02     17.353936  110994.5183
673   110968.03  110960.70  111028.85  110860.00    6.106258  110967.0935 2025-05-22 11:13:00           508  NaN    11      13          3    110968.03     13.867926  110950.3150    110905.49      9.210169  110944.4181    110957.82     11.250533  110969.3474    110976.09     10.955720  110980.9899    111113.00     16.282357  111133.5696
674   111010.55  110966.75  111010.55  110870.00   15.776147  110982.1452 2025-05-22 11:14:00           614  NaN    11      14          3    110960.70      6.106258  110967.0935    110968.03     13.867926  110950.3150    110905.49      9.210169  110944.4181    110957.82     11.250533  110969.3474    110976.09     10.955720  110980.9899
675   110966.75  110911.81  110967.63  110810.00   14.898318  110941.7806 2025-05-22 11:15:00           698  NaN    11      15          3    110966.75     15.776147  110982.1452    110960.70      6.106258  110967.0935    110968.03     13.867926  110950.3150    110905.49      9.210169  110944.4181    110957.82     11.250533  110969.3474
676   110911.95  110933.82  110938.55  110800.00   12.134877  110903.7647 2025-05-22 11:16:00           625  NaN    11      16          3    110911.81     14.898318  110941.7806    110966.75     15.776147  110982.1452    110960.70      6.106258  110967.0935    110968.03     13.867926  110950.3150    110905.49      9.210169  110944.4181
677   110929.76  110928.22  110947.45  110820.00   12.828162  110920.4169 2025-05-22 11:17:00           598  NaN    11      17          3    110933.82     12.134877  110903.7647    110911.81     14.898318  110941.7806    110966.75     15.776147  110982.1452    110960.70      6.106258  110967.0935    110968.03     13.867926  110950.3150
678   110937.75  110997.85  110999.18  110820.00    9.650957  110933.9338 2025-05-22 11:18:00           545  NaN    11      18          3    110928.22     12.828162  110920.4169    110933.82     12.134877  110903.7647    110911.81     14.898318  110941.7806    110966.75     15.776147  110982.1452    110960.70      6.106258  110967.0935
679   110997.86  111170.16  111189.13  110880.00   15.286414  111098.2631 2025-05-22 11:19:00           781  NaN    11      19          3    110997.85      9.650957  110933.9338    110928.22     12.828162  110920.4169    110933.82     12.134877  110903.7647    110911.81     14.898318  110941.7806    110966.75     15.776147  110982.1452
680   111040.00  111197.05  111206.01  111040.00   12.924805  111162.4141 2025-05-22 11:20:00           568  NaN    11      20          3    111170.16     15.286414  111098.2631    110997.85      9.650957  110933.9338    110928.22     12.828162  110920.4169    110933.82     12.134877  110903.7647    110911.81     14.898318  110941.7806
681   111197.05  111316.77  111340.61  111110.00   24.520559  111276.7358 2025-05-22 11:21:00           956  NaN    11      21          3    111197.05     12.924805  111162.4141    111170.16     15.286414  111098.2631    110997.85      9.650957  110933.9338    110928.22     12.828162  110920.4169    110933.82     12.134877  110903.7647
682   111316.76  111261.04  111317.36  111140.00   21.304683  111266.9441 2025-05-22 11:22:00           872  NaN    11      22          3    111316.77     24.520559  111276.7358    111197.05     12.924805  111162.4141    111170.16     15.286414  111098.2631    110997.85      9.650957  110933.9338    110928.22     12.828162  110920.4169
683   111261.04  111183.54  111261.04  111070.00   13.055801  111219.6520 2025-05-22 11:23:00           588  NaN    11      23          3    111261.04     21.304683  111266.9441    111316.77     24.520559  111276.7358    111197.05     12.924805  111162.4141    111170.16     15.286414  111098.2631    110997.85      9.650957  110933.9338
684   111183.54  111245.50  111252.69  111080.00    8.960089  111217.8714 2025-05-22 11:24:00           584  NaN    11      24          3    111183.54     13.055801  111219.6520    111261.04     21.304683  111266.9441    111316.77     24.520559  111276.7358    111197.05     12.924805  111162.4141    111170.16     15.286414  111098.2631
685   111245.50  111183.04  111245.60  111040.00   10.304589  111170.9487 2025-05-22 11:25:00           559  NaN    11      25          3    111245.50      8.960089  111217.8714    111183.54     13.055801  111219.6520    111261.04     21.304683  111266.9441    111316.77     24.520559  111276.7358    111197.05     12.924805  111162.4141
686   111183.04  111144.64  111231.80  111070.00   11.791965  111165.8384 2025-05-22 11:26:00           478  NaN    11      26          3    111183.04     10.304589  111170.9487    111245.50      8.960089  111217.8714    111183.54     13.055801  111219.6520    111261.04     21.304683  111266.9441    111316.77     24.520559  111276.7358
687   111144.64  111160.99  111167.82  111020.00    8.258176  111138.2000 2025-05-22 11:27:00           520  NaN    11      27          3    111144.64     11.791965  111165.8384    111183.04     10.304589  111170.9487    111245.50      8.960089  111217.8714    111183.54     13.055801  111219.6520    111261.04     21.304683  111266.9441
688   111160.99  111199.99  111200.00  111040.00   10.252089  111153.8686 2025-05-22 11:28:00           589  NaN    11      28          3    111160.99      8.258176  111138.2000    111144.64     11.791965  111165.8384    111183.04     10.304589  111170.9487    111245.50      8.960089  111217.8714    111183.54     13.055801  111219.6520
689   111192.02  111150.72  111258.76  111030.00   14.631147  111193.4509 2025-05-22 11:29:00           669  NaN    11      29          3    111199.99     10.252089  111153.8686    111160.99      8.258176  111138.2000    111144.64     11.791965  111165.8384    111183.04     10.304589  111170.9487    111245.50      8.960089  111217.8714
690   111150.23  111138.90  111212.50  111010.00   14.117477  111145.1419 2025-05-22 11:30:00           718  NaN    11      30          3    111150.72     14.631147  111193.4509    111199.99     10.252089  111153.8686    111160.99      8.258176  111138.2000    111144.64     11.791965  111165.8384    111183.04     10.304589  111170.9487
691   111142.55  111174.01  111212.68  111050.00   13.120709  111152.2380 2025-05-22 11:31:00           655  NaN    11      31          3    111138.90     14.117477  111145.1419    111150.72     14.631147  111193.4509    111199.99     10.252089  111153.8686    111160.99      8.258176  111138.2000    111144.64     11.791965  111165.8384
692   111153.80  111092.46  111174.01  111000.00   15.534825  111116.2416 2025-05-22 11:32:00           475  NaN    11      32          3    111174.01     13.120709  111152.2380    111138.90     14.117477  111145.1419    111150.72     14.631147  111193.4509    111199.99     10.252089  111153.8686    111160.99      8.258176  111138.2000
693   111091.47  111167.16  111167.75  110980.00    5.581180  111095.5306 2025-05-22 11:33:00           426  NaN    11      33          3    111092.46     15.534825  111116.2416    111174.01     13.120709  111152.2380    111138.90     14.117477  111145.1419    111150.72     14.631147  111193.4509    111199.99     10.252089  111153.8686
694   111167.76  111250.07  111265.02  111060.00   12.184761  111179.2425 2025-05-22 11:34:00           449  NaN    11      34          3    111167.16      5.581180  111095.5306    111092.46     15.534825  111116.2416    111174.01     13.120709  111152.2380    111138.90     14.117477  111145.1419    111150.72     14.631147  111193.4509
695   111250.01  111265.42  111317.35  111150.00   11.821443  111256.7460 2025-05-22 11:35:00           574  NaN    11      35          3    111250.07     12.184761  111179.2425    111167.16      5.581180  111095.5306    111092.46     15.534825  111116.2416    111174.01     13.120709  111152.2380    111138.90     14.117477  111145.1419
696   111262.19  111242.41  111272.79  111130.00   20.870000  111249.7022 2025-05-22 11:36:00           688  NaN    11      36          3    111265.42     11.821443  111256.7460    111250.07     12.184761  111179.2425    111167.16      5.581180  111095.5306    111092.46     15.534825  111116.2416    111174.01     13.120709  111152.2380
